Food Item,Quantity,Unit,Fat,Protein,Carb,Fiber,Net Carb,Calories,Food Item,B1(Thiamine) mg,B2 (Riboflavin) mg,B3 (Niacin) mg,B5 (Pantothenic Acid) mg,B6 (Pyridoxine) mg,B12 (Cobalamin) mg,B7 (Biotin) mg,B8 (Choline) mg,B9 (Folate) mg,Vitamin A IU,Vitamin C mg,Vitamin D IU,Vitamin E mg,Vitamin K mg,Food Item,Calcium mg,Copper mg,Iron mg,Magnesium mg,Manganese mg,Phosphosus mg,Potassium mg,Selenium mg,Sodium mg,Zinc mg
Broccoli,100,gram,0.4,2.8,6.6,2.6,4,42,"Broccoli, Raw",0.07,0.12,0.64,0.57,0.18,0,0,18.7,63,623,89.2,0,1.44,102,"Broccoli, Raw",0.47,0.05,0.73,21,0.21,66,316,2.5,33,0.41
Palong Shak (Spinach),100,gram,0.4,2.9,3.6,2.2,1.4,30,"Spinach, Raw",0.08,0.19,0.72,0.07,0.2,0,0,19.3,194,9377,28.1,0,1.96,482.9,"Spinach, Raw",99,0.13,2.71,79,0.9,49,558,1,79,0.53
Letus Pata (Lettuce Leaves),100,gram,0.1,0.9,3,1.2,1.8,16,Green Leaf Lettuce Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Green Leaf Lettuce Leaves,35.29,0,1.18,0,0,0,200,0,29.41,0
Sheem ,100,gram,0.2,2,6,4,2,33,Green Beans,0.07,0.1,0.61,0.07,0.06,0,0,16.9,33,633,9.7,0,0.46,47.9,Green Beans,44,0.06,0.65,18,0.29,29,146,0.2,1,0.25
Lal Shak (Red Spinach)/Data Shak (Data Spinach),100,gram,0.3,2.5,4,1.5,2.5,23,"spinach, red veined",0,0,0,0,0,0,0,0,0,5294.12,49.41,0,0,0,"spinach, red veined",117.65,0,1.69,0,0,0,0,0,123.53,0
Pui Shak (Malabar Spinach),100,gram,0.8,3,2.7,2.1,0.6,25,"Malabar spinach, cooked",0.11,0.13,0.79,0.14,0.09,0,0,0,114,1158,5.9,0,0,0,"Malabar spinach, cooked",124,0.11,1.48,48,0.26,36,256,0.9,55,3
Mula (Radish),100,gram,0.1,0.7,3.7,1.6,2.1,18,"Radish, Raw",0.01,0.04,0.25,0.17,0.07,0,0,6.5,25,7,14.8,0,0,1.4,"Radish, Raw",0.25,0.05,0.34,10,0.07,20,233,0.6,39,0.28
Celery,100,gram,0.2,0.7,3.4,1.6,1.8,19,"Celery, Raw",0.02,0.06,0.32,0.25,0.07,0,0,6.1,36,449,3.1,0,0.26,29,"Celery, Raw",40,0.04,0.2,11,0.1,24,260,0.4,80,0.13
Mushroom,100,gram,0.3,3.1,3.3,2,2.3,28,"Mushrooms, Raw",0.08,0.4,3.61,1.5,0.1,0.04,0,17.3,17,0,2.1,7,0.01,0,"Mushrooms, Raw",3,0.32,0.5,9,0.05,86,318,9.3,5,0.52
Badhakopi (Cabbage),100,gram,0.1,1.4,5.6,2,3.6,29,"Cabbage, Green, Raw",0.06,0.04,0.23,0.21,0.12,0,0,10.7,43,98,36.6,0,0,76,"Cabbage, Green, Raw",40,0.02,0.47,12,0.16,26,170,0.3,18,0.18
